city,lat,Lon,temp,humidity,Wind_speed,Cloudiness,Country_code,Date
rincon,32.3,-81.24,25.0,94,2.6,75,US,1602857060
omsukchan,62.53,155.8,-4.8,94,2.37,100,RU,1602857096
corn island,12.17,-83.04,28.23,72,2.34,99,NI,1602857096
novobirilyussy,56.95,90.67,-0.95,93,2.58,86,RU,1602857096
margate,51.38,1.39,12.78,62,0.89,74,GB,1602857097
fare,-16.7,-151.02,25.87,81,6.01,74,PF,1602857097
zhangye,38.93,100.45,7.46,46,1.16,0,CN,1602856846
belmonte,-15.86,-38.88,28.0,65,1.0,40,BR,1602857097
jizan,17.33,42.67,35.0,50,6.2,20,SA,1602857097
yulara,-25.24,130.99,30.0,19,3.6,0,AU,1602857097
kimbe,-5.55,150.14,24.6,88,1.57,99,PG,1602857098
ila,63.43,10.37,10.0,85,0.45,95,NO,1602857098
ailigandi,9.23,-78.02,29.0,69,1.67,1,PA,1602857098
killybegs,54.63,-8.45,11.0,66,5.7,40,IE,1602857098
manjacaze,-24.71,33.88,26.19,63,5.22,8,MZ,1602857098
sao filipe,14.9,-24.5,28.12,73,1.91,100,CV,1602857098
bagotville,-28.98,153.42,17.0,93,1.22,0,AU,1602857098
tilichiki,60.47,166.1,0.81,90,2.24,57,RU,1602857099
bambanglipuro,-7.95,110.28,25.3,84,2.1,34,ID,1602857099
saint anthony,45.02,-93.22,2.78,74,3.1,75,US,1602857099
umm lajj,25.02,37.27,32.19,49,3.77,0,SA,1602857099
